time_key,prototype_col,Time_mapping,time_key_mpl,PBL_MPL_m,rmin_m,rmax_m,rmin_used_m,rmax_used_m,PBL_TR40_m,Chosen_mode,HWCT_peak_chosen,Delta_TR40_minus_MPL_m,NRB_all_nan,FFT_fc_cycles_per_m,FFT_order,FFT_pad_frac,HWCT_smooth_win_bins,HWCT_tol_m
0005,00.05,exact,0005,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,1897.5,positive,0.011399873720298603,-201.04719999999998,False,0.0125,6,0.1,7,22.5
0035,00.35,exact,0035,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,1878.75,positive,0.014036561438507511,-249.7764000000002,False,0.0125,6,0.1,7,22.5
0105,01.05,exact,0105,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,1818.75,positive,0.0043595906885346425,-279.7972,False,0.0125,6,0.1,7,22.5
0135,01.35,exact,0135,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,1758.75,positive,0.004202112243958833,-279.8388,False,0.0125,6,0.1,7,22.5
0205,02.05,exact,0205,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2298.75,positive,0.003278048433316999,200.20280000000002,False,0.0125,6,0.1,7,22.5
0235,02.35,exact,0235,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2388.75,positive,0.00755204920122321,290.2028,False,0.0125,6,0.1,7,22.5
0305,03.05,exact,0305,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,1953.75,positive,0.00234774519305303,-174.7764000000002,False,0.0125,6,0.1,7,22.5
0335,03.35,exact,0335,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,1950.0,positive,0.008940960330327152,-178.5264000000002,False,0.0125,6,0.1,7,22.5
0405,04.05,exact,0405,2068.568,1768.5679999999998,2368.568,1768.5679999999998,2368.568,1938.75,positive,0.012105221166448021,-129.8180000000002,False,0.0125,6,0.1,7,22.5
0435,04.35,exact,0435,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2205.0,positive,0.007821201499780717,166.4112,False,0.0125,6,0.1,7,22.5
0505,05.05,exact,0505,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2021.25,positive,0.013239836889273271,-77.29719999999998,False,0.0125,6,0.1,7,22.5
0535,05.35,exact,0535,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2013.75,positive,0.017050547476329336,-114.7764000000002,False,0.0125,6,0.1,7,22.5
0605,06.05,exact,0605,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2238.75,positive,0.004777001289785962,110.2235999999998,False,0.0125,6,0.1,7,22.5
0635,06.35,exact,0635,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2385.0,positive,0.005997012761543644,226.49429999999984,False,0.0125,6,0.1,7,22.5
0705,07.05,exact,0705,1888.6925,1588.6925,2188.6925,1588.6925,2188.6925,2013.75,positive,0.0041506069577715715,125.05749999999989,False,0.0125,6,0.1,7,22.5
0735,07.35,exact,0735,2188.485,1888.485,2488.485,1888.485,2488.485,2313.75,positive,0.005924509188437209,125.26499999999987,False,0.0125,6,0.1,7,22.5
0805,08.05,exact,0805,2188.485,1888.485,2488.485,1888.485,2488.485,2261.25,positive,0.003721866556587773,72.76499999999987,False,0.0125,6,0.1,7,22.5
0835,08.35,exact,0835,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2223.75,positive,0.0037487390767619025,5.285900000000311,False,0.0125,6,0.1,7,22.5
0905,09.05,exact,0905,2188.485,1888.485,2488.485,1888.485,2488.485,2265.0,positive,0.0031863305346899315,76.51499999999987,False,0.0125,6,0.1,7,22.5
0935,09.35,exact,0935,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2253.75,positive,0.005488201364840541,155.20280000000002,False,0.0125,6,0.1,7,22.5
1005,10.05,exact,1005,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,1912.5,positive,0.003996624005622664,-246.00570000000016,False,0.0125,6,0.1,7,22.5
1035,10.35,exact,1035,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2197.5,positive,0.003204781290955776,68.9735999999998,False,0.0125,6,0.1,7,22.5
1105,11.05,exact,1105,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2231.25,positive,0.0035967603642964403,72.74429999999984,False,0.0125,6,0.1,7,22.5
1135,11.35,exact,1135,2188.485,1888.485,2488.485,1888.485,2488.485,2388.75,positive,0.0019933843675177137,200.26499999999987,False,0.0125,6,0.1,7,22.5
1205,12.05,exact,1205,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,2246.25,positive,0.004335242140294191,87.74429999999984,False,0.0125,6,0.1,7,22.5
1235,12.35,exact,1235,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,1833.75,positive,0.0033333810336711087,-294.7764000000002,False,0.0125,6,0.1,7,22.5
1305,13.05,exact,1305,2158.5057,1858.5057,2458.5057,1858.5057,2458.5057,1931.25,positive,0.002965937056129306,-227.25570000000016,False,0.0125,6,0.1,7,22.5
1335,13.35,exact,1335,2188.485,1888.485,2488.485,1888.485,2488.485,2460.0,positive,0.00522359553724503,271.5149999999999,False,0.0125,6,0.1,7,22.5
1405,14.05,exact,1405,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2036.25,positive,0.006644257792547388,-182.2140999999997,False,0.0125,6,0.1,7,22.5
1435,14.35,exact,1435,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2418.75,positive,0.006768738766731115,200.2859000000003,False,0.0125,6,0.1,7,22.5
1505,15.05,exact,1505,2128.5264,1828.5264,2428.5264,1828.5264,2428.5264,2163.75,positive,0.0038905652913078853,35.223599999999806,False,0.0125,6,0.1,7,22.5
1535,15.35,exact,1535,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2175.0,positive,0.00342865318154497,-43.46409999999969,False,0.0125,6,0.1,7,22.5
1605,16.05,exact,1605,1948.651,1648.6509999999998,2248.651,1648.6509999999998,2248.651,2051.25,positive,0.0024884528048985527,102.59899999999993,False,0.0125,6,0.1,7,22.5
1635,16.35,exact,1635,2218.4640999999997,1918.4640999999997,2518.4640999999997,1918.4640999999997,2518.4640999999997,2478.75,positive,0.0033990353552232552,260.2859000000003,False,0.0125,6,0.1,7,22.5
1705,17.05,exact,1705,2308.402,2008.402,2608.402,2008.402,2608.402,2388.75,positive,0.005558667819453947,80.34799999999996,False,0.0125,6,0.1,7,22.5
1735,17.35,exact,1735,1978.6303,1678.6303,2278.6303,1678.6303,2278.6303,2126.25,positive,0.004746731510653263,147.61969999999997,False,0.0125,6,0.1,7,22.5
1805,18.05,exact,1805,2248.4434,1948.4434,2548.4434,1948.4434,2548.4434,2336.25,positive,0.004675647474049662,87.80659999999989,False,0.0125,6,0.1,7,22.5
1835,18.35,exact,1835,2368.3605,2068.3605,2668.3605,2068.3605,2668.3605,2242.5,positive,0.01708977226086325,-125.86049999999977,False,0.0125,6,0.1,7,22.5
1905,19.05,exact,1905,2458.2982,2158.2982,2758.2982,2158.2982,2758.2982,2321.25,positive,0.016575966804508013,-137.04820000000018,False,0.0125,6,0.1,7,22.5
1935,19.35,exact,1935,2278.4226,1978.4226,2578.4226,1978.4226,2578.4226,2321.25,positive,0.03865659194429849,42.827400000000125,False,0.0125,6,0.1,7,22.5
2005,20.05,exact,2005,2308.402,2008.402,2608.402,2008.402,2608.402,2302.5,positive,0.07437271447236649,-5.902000000000044,False,0.0125,6,0.1,7,22.5
2035,20.35,exact,2035,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2287.5,positive,0.0407915356261484,248.9112,False,0.0125,6,0.1,7,22.5
2105,21.05,exact,2105,2038.5888,1738.5887999999998,2338.5887999999995,1738.5887999999998,2338.5887999999995,2291.25,positive,0.17560988023821666,252.6612,False,0.0125,6,0.1,7,22.5
2135,21.35,exact,2135,1858.7133,1558.7133,2158.7133000000003,1558.7133,2158.7133000000003,2156.25,positive,0.0321246111478502,297.5367000000001,False,0.0125,6,0.1,7,22.5
2205,22.05,exact,2205,1798.7548,1498.7548,2098.7547999999997,1498.7548,2098.7547999999997,2055.0,positive,0.009284522793895966,256.24520000000007,False,0.0125,6,0.1,7,22.5
2235,22.35,exact,2235,2098.5472,1798.5472,2398.5472,1798.5472,2398.5472,2182.5,positive,0.02355074133303814,83.95280000000002,False,0.0125,6,0.1,7,22.5
2305,23.05,exact,2305,2008.6095,1708.6095,2308.6095,1708.6095,2308.6095,2171.25,positive,0.07563099414177571,162.64049999999997,False,0.0125,6,0.1,7,22.5
2335,23.35,exact,2335,1948.651,1648.6509999999998,2248.651,1648.6509999999998,2248.651,2126.25,positive,0.02725910070017007,177.59899999999993,False,0.0125,6,0.1,7,22.5
